CustID,Gender,State,Age,Married,KidsUnder12,GI,AI,MI,KI,Gender 2,Age 2,Married 2,KidsUnder12 2,GI2,Gender 3
5192,M,SC,83,Yes,No,0,0,0,0,M,83,1,0,0,M
5193,F,NV,49,Yes,Yes,0,0,0,0,F,49,1,1,0,F
5194,M,LA,59,Yes,No,0,0,0,0,M,59,1,0,0,M
5195,M,NC,61,No,No,0,0,0,0,M,61,0,0,1,m
5196,F,FL,72,No,No,0,0,0,0,F,72,0,0,0,F
5197,F,TX,55,Yes,No,0,0,0,0,F,55,1,0,0,F
5198,M,MD,62,No,No,0,0,0,0,M,62,0,0,0,M
5199,M,PA,28,No,No,0,1,0,0,M,,0,0,0,M
5200,F,NC,33,Yes,Yes,0,0,0,0,F,33,1,1,0,F
5201,M,KY,49,Yes,No,0,0,0,0,M,49,1,0,0,M
5202,M,SC,73,Yes,No,0,0,0,0,M,73,1,0,0,M
5203,F,IN,30,No,No,0,0,0,0,F,30,0,0,0,F
5204,M,AL,68,No,No,0,0,0,0,M,68,0,0,0,M
5205,F,TN,47,Yes,Yes,0,0,0,0,F,47,1,1,0,F
5206,M,TN,70,Yes,No,0,0,0,0,M,70,1,0,0,M
5207,F,CA,21,No,No,0,0,0,0,F,21,0,0,0,F
5208,M,CA,38,Yes,Yes,0,0,0,0,M,38,1,1,0,M
5209,F,NC,73,No,No,0,0,0,0,F,73,0,0,0,F
5210,M,AR,29,Yes,Yes,0,0,0,0,M,29,1,1,0,M
5211,M,CA,27,Yes,No,0,0,0,0,M,27,1,0,0,M
5212,M,CA,33,Yes,No,0,0,0,0,M,33,1,0,0,M
5213,M,SC,32,No,No,0,0,0,0,M,32,0,0,0,M
5214,M,TX,29,Yes,Yes,0,0,1,0,M,29,,1,0,M
5215,F,NC,31,Yes,No,0,0,0,0,F,31,1,0,0,F
5216,M,NC,81,No,No,0,0,0,0,M,81,0,0,1,m
5217,M,IL,44,Yes,No,0,0,0,0,M,44,1,0,0,M
5218,F,NC,53,Yes,Yes,1,0,0,0,,53,1,1,0,
5219,F,IL,25,No,No,0,0,0,0,F,25,0,0,0,F
5220,M,VA,48,Yes,Yes,0,0,1,0,M,48,,1,0,M
5221,F,SC,28,Yes,Yes,0,0,0,0,F,28,1,1,0,F
5222,F,PA,65,Yes,No,0,0,0,0,F,65,1,0,0,F
5223,F,SC,45,Yes,Yes,1,0,0,0,,45,1,1,0,
5224,M,SC,20,Yes,No,0,0,0,0,M,20,1,0,0,M
5225,F,FL,49,No,No,0,0,0,0,F,49,0,0,1,f
5226,F,NC,51,Yes,Yes,0,0,0,0,F,51,1,1,0,F
5227,F,KY,46,Yes,No,0,0,0,0,F,46,1,0,0,F
5228,F,NC,30,Yes,Yes,0,1,0,0,F,,1,1,0,F
5229,M,VA,40,Yes,Yes,0,1,1,0,M,,,1,0,M
5230,F,NV,63,No,No,0,0,0,0,F,63,0,0,0,F
5231,F,IL,29,Yes,Yes,0,0,0,0,F,29,1,1,0,F
5232,M,AL,43,No,No,0,0,0,0,M,43,0,0,0,M
5233,M,IL,38,Yes,Yes,0,0,0,0,M,38,1,1,0,M
5234,M,PA,51,Yes,Yes,0,0,0,0,M,51,1,1,0,M
5235,F,AL,57,Yes,No,0,0,1,0,F,57,,0,0,F
5236,M,MA,28,No,No,0,0,0,0,M,28,0,0,0,M
5237,M,NC,33,Yes,Yes,0,0,0,0,M,33,1,1,0,M
5238,F,NC,66,Yes,No,0,0,0,0,F,66,1,0,0,F
5239,M,NC,50,Yes,No,0,0,0,0,M,50,1,0,0,M
5240,M,SC,39,Yes,Yes,0,0,0,0,M,39,1,1,0,M
5241,F,MI,38,Yes,Yes,1,0,0,0,,38,1,1,1,
5242,M,MI,58,Yes,No,0,0,0,0,M,58,1,0,0,M
5243,M,CA,38,No,No,0,0,0,0,M,38,0,0,0,M
5244,F,TX,26,No,Yes,0,0,0,0,F,26,0,1,0,F
5245,F,NC,43,Yes,No,0,1,0,0,F,,1,0,0,F
5246,M,SC,48,Yes,No,0,0,0,1,M,48,1,,0,M
5247,F,SC,77,No,No,0,0,0,0,F,77,0,0,0,F
5248,F,TX,28,Yes,Yes,0,0,0,0,F,28,1,1,0,F
5249,F,NC,24,Yes,Yes,0,0,0,0,F,24,1,1,1,f
5250,F,VA,73,No,No,0,0,0,1,F,73,0,,0,F
5251,M,IN,70,Yes,No,0,0,0,0,M,70,1,0,0,M
5252,M,AR,53,No,No,0,0,0,0,M,53,0,0,1,m
5253,M,OH,39,Yes,No,0,0,0,0,M,39,1,0,0,M
5254,M,WI,51,Yes,No,0,0,0,0,M,51,1,0,0,M
5255,F,CA,60,No,No,0,0,1,0,F,60,,0,0,F
5256,M,CA,64,No,No,1,0,0,0,,64,0,0,0,
5257,F,CA,71,Yes,No,0,0,0,0,F,71,1,0,1,f
5258,M,DC,53,No,No,0,0,0,0,M,53,0,0,0,M
5259,F,CA,36,Yes,Yes,1,0,0,0,,36,1,1,0,
5260,F,KY,60,Yes,No,0,0,0,0,F,60,1,0,0,F
5261,M,TX,61,No,No,0,0,0,1,M,61,0,,0,M
5262,M,WV,68,No,No,0,0,0,0,M,68,0,0,0,M
5263,M,NC,45,Yes,Yes,0,0,0,0,M,45,1,1,1,m
5264,F,NC,44,Yes,Yes,0,1,0,0,F,,1,1,0,F
5265,M,GA,51,Yes,Yes,0,0,0,0,M,51,1,1,0,M
5266,M,MD,28,Yes,Yes,1,0,0,0,,28,1,1,0,
5267,M,NY,56,Yes,No,0,0,1,0,M,56,,0,0,M
5268,F,NV,30,No,No,0,0,1,0,F,30,,0,0,F
5269,M,NV,31,Yes,Yes,0,0,0,1,M,31,1,,1,m
5270,M,NC,35,No,No,0,0,1,0,M,35,,0,0,M
5271,F,CA,23,Yes,No,0,0,0,0,F,23,1,0,0,F
5272,M,NJ,57,Yes,No,0,0,0,0,M,57,1,0,0,M
5273,F,MD,53,Yes,Yes,0,0,0,0,F,53,1,1,0,F
5274,M,CA,26,No,No,0,0,0,0,M,26,0,0,0,M
5275,F,FL,62,Yes,No,0,0,0,0,F,62,1,0,0,F
5276,F,TX,21,No,Yes,0,0,0,0,F,21,0,1,0,F
5277,M,MI,50,Yes,No,0,0,0,0,M,50,1,0,0,M
5278,F,CA,35,Yes,Yes,0,0,0,0,F,35,1,1,0,F
5279,M,PA,78,No,No,0,0,0,0,M,78,0,0,0,M
5280,F,GA,34,Yes,Yes,0,0,0,0,F,34,1,1,0,F
5281,M,MI,38,Yes,Yes,0,0,0,0,M,38,1,1,0,M
5282,M,SC,69,Yes,No,0,1,0,0,M,,1,0,0,M
5283,M,NC,25,Yes,No,0,0,0,0,M,25,1,0,0,M
5284,F,NC,33,No,No,0,0,0,0,F,33,0,0,0,F
5285,F,CA,63,Yes,No,0,0,0,0,F,63,1,0,0,F
5286,M,IN,30,No,No,0,0,0,0,M,30,0,0,0,M
5287,F,NV,24,No,No,0,0,0,0,F,24,0,0,0,F
5288,F,AL,32,Yes,Yes,0,1,0,0,F,,1,1,0,F
5289,M,TX,86,No,No,0,0,0,0,M,86,0,0,0,M
5290,F,PA,55,Yes,No,0,0,0,0,F,55,1,0,0,F
5291,M,SC,37,Yes,Yes,0,0,0,0,M,37,1,1,0,M
5292,F,CA,18,No,No,0,0,0,0,F,18,0,0,0,F
5293,F,TX,75,Yes,No,0,0,0,0,F,75,1,0,0,F
5294,M,DC,57,No,No,0,0,0,0,M,57,0,0,0,M
5295,F,NJ,52,Yes,No,0,0,0,0,F,52,1,0,0,F
5296,F,NV,29,Yes,No,0,0,0,0,F,29,1,0,0,F
5297,M,NC,53,Yes,No,0,0,0,0,M,53,1,0,0,M
5298,F,FL,63,Yes,No,0,0,0,0,F,63,1,0,0,F
5299,F,NJ,48,Yes,Yes,0,0,0,0,F,48,1,1,0,F
5300,F,CA,63,No,No,0,0,0,0,F,63,0,0,0,F
5301,F,FL,58,Yes,No,0,0,0,0,F,58,1,0,0,F
5302,F,NC,40,No,Yes,1,0,0,0,,40,0,1,0,
5303,F,PA,67,No,No,0,0,0,0,F,67,0,0,0,F
5304,M,SC,55,Yes,No,0,0,0,0,M,55,1,0,0,M
5305,M,NJ,24,No,No,0,0,0,0,M,24,0,0,0,M
5306,M,SC,54,Yes,No,0,0,0,0,M,54,1,0,0,M
5307,M,FL,49,Yes,Yes,0,0,0,0,M,49,1,1,0,M
5308,F,FL,60,No,No,0,0,0,0,F,60,0,0,0,F
5309,M,LA,45,Yes,Yes,1,0,1,0,,45,,1,0,
5310,F,CA,38,Yes,No,0,0,0,0,F,38,1,0,0,F
5311,F,NV,22,No,No,0,0,0,0,F,22,0,0,1,f
5312,F,OH,59,Yes,No,0,0,0,0,F,59,1,0,0,F
5313,M,CA,25,No,No,0,0,0,0,M,25,0,0,0,M
5314,F,CA,38,Yes,Yes,0,0,0,0,F,38,1,1,0,F
5315,F,CA,63,Yes,No,0,0,0,0,F,63,1,0,1,f
5316,M,KY,35,No,No,0,0,0,0,M,35,0,0,1,m
5317,M,NC,46,Yes,Yes,1,0,0,0,,46,1,1,0,
5318,F,DC,68,No,No,0,0,0,0,F,68,0,0,0,F
5319,F,CA,53,Yes,Yes,0,0,0,0,F,53,1,1,0,F
5320,F,AR,19,No,No,0,0,0,0,F,19,0,0,0,F
5321,F,NJ,28,No,No,0,0,0,0,F,28,0,0,0,F
5322,M,CA,74,No,No,0,0,0,0,M,74,0,0,0,M
5323,M,CA,36,No,No,0,0,0,1,M,36,0,,0,M
5324,M,CA,57,No,No,0,0,0,0,M,57,0,0,0,M
5325,M,NV,50,Yes,No,0,0,0,0,M,50,1,0,0,M
5326,F,NC,54,Yes,Yes,0,0,0,1,F,54,1,,0,F
5327,M,SC,40,No,No,0,0,0,0,M,40,0,0,0,M
5328,F,NY,50,Yes,No,0,0,0,0,F,50,1,0,0,F
5329,F,FL,77,No,No,0,0,0,0,F,77,0,0,1,f
5330,M,NC,62,Yes,No,0,0,0,0,M,62,1,0,0,M
5331,F,NV,60,Yes,No,0,0,1,1,F,60,,,0,F
5332,F,NV,30,Yes,No,0,0,0,0,F,30,1,0,0,F
5333,M,GA,27,No,No,0,0,0,0,M,27,0,0,0,M
5334,M,SC,27,Yes,Yes,0,0,0,0,M,27,1,1,0,M
5335,F,PA,43,Yes,Yes,0,0,0,0,F,43,1,1,1,f
5336,F,NC,45,Yes,No,0,0,0,0,F,45,1,0,0,F
5337,M,MI,23,No,No,0,0,0,0,M,23,0,0,0,M
5338,M,AL,68,No,No,0,0,0,0,M,68,0,0,0,M
5339,F,CT,53,Yes,No,0,0,0,0,F,53,1,0,0,F
5340,M,IL,23,Yes,Yes,0,0,0,0,M,23,1,1,0,M
5341,F,MD,42,No,No,0,0,1,0,F,42,,0,0,F
5342,M,LA,67,Yes,No,0,1,0,0,M,,1,0,0,M
5343,F,CA,24,No,No,0,0,0,0,F,24,0,0,0,F
5344,M,NC,37,No,No,0,0,0,0,M,37,0,0,0,M
5345,F,RI,28,No,No,0,0,1,0,F,28,,0,0,F
5346,M,NY,72,No,No,0,1,0,0,M,,0,0,0,M
5347,M,SC,64,No,No,0,0,0,0,M,64,0,0,0,M
5348,M,PA,50,Yes,Yes,0,0,1,0,M,50,,1,0,M
5349,F,NV,37,Yes,Yes,0,0,0,0,F,37,1,1,0,F
5350,M,NV,50,Yes,Yes,0,0,0,0,M,50,1,1,0,M
5351,M,NC,52,Yes,Yes,0,0,0,0,M,52,1,1,1,m
5352,M,OH,44,No,No,0,0,0,0,M,44,0,0,0,M
5353,F,FL,59,Yes,No,0,0,0,0,F,59,1,0,0,F
5354,F,NY,48,Yes,No,0,0,1,0,F,48,,0,0,F
5355,F,NC,61,Yes,No,0,0,0,0,F,61,1,0,0,F
5356,M,PA,80,No,No,0,0,0,0,M,80,0,0,0,M
5357,F,CA,32,Yes,Yes,0,0,0,0,F,32,1,1,0,F
5358,M,MD,29,No,No,0,0,0,0,M,29,0,0,0,M
5359,M,MI,45,Yes,Yes,0,0,0,0,M,45,1,1,0,M
5360,F,NY,87,No,No,0,0,0,0,F,87,0,0,0,F
5361,F,NJ,38,Yes,No,0,1,0,0,F,,1,0,0,F
5362,M,NV,27,No,No,0,0,0,0,M,27,0,0,0,M
5363,M,NC,23,Yes,Yes,0,0,0,0,M,23,1,1,0,M
5364,F,CA,41,Yes,Yes,1,0,1,0,,41,,1,0,
5365,M,CA,67,Yes,No,0,0,0,0,M,67,1,0,0,M
5366,M,VA,42,Yes,Yes,0,0,0,0,M,42,1,1,0,M
5367,F,NV,42,Yes,Yes,0,0,0,0,F,42,1,1,0,F
5368,F,NV,43,Yes,Yes,0,0,0,0,F,43,1,1,0,F
5369,F,MD,49,No,No,0,0,0,0,F,49,0,0,0,F
5370,F,CA,49,Yes,Yes,0,0,0,0,F,49,1,1,0,F
5371,F,SC,42,Yes,Yes,0,0,0,0,F,42,1,1,0,F
5372,M,TX,75,No,No,0,0,0,0,M,75,0,0,0,M
5373,M,MD,59,No,No,0,0,0,0,M,59,0,0,0,M
5374,F,FL,30,No,Yes,0,0,0,0,F,30,0,1,0,F
5375,F,SC,61,Yes,No,1,0,0,0,,61,1,0,0,
5376,M,KY,24,No,No,0,0,0,0,M,24,0,0,0,M
5377,F,FL,45,Yes,Yes,0,0,0,0,F,45,1,1,0,F
5378,M,NV,56,Yes,No,0,0,0,0,M,56,1,0,0,M
5379,F,MD,74,Yes,No,0,0,0,0,F,74,1,0,0,F
5380,F,NC,69,Yes,No,0,0,0,0,F,69,1,0,0,F
5381,F,NC,29,Yes,Yes,0,0,0,0,F,29,1,1,0,F
5382,M,NV,40,Yes,No,0,0,0,0,M,40,1,0,0,M
5383,M,NV,60,Yes,No,0,0,0,0,M,60,1,0,0,M
5384,M,NC,55,Yes,No,0,0,0,0,M,55,1,0,0,M
5385,M,NV,33,No,No,1,0,1,0,,33,,0,0,
5386,M,NV,48,Yes,Yes,0,0,0,1,M,48,1,,0,M
5387,F,OH,82,No,No,1,0,0,0,,82,0,0,0,
5388,M,NC,81,No,No,0,0,0,0,M,81,0,0,0,M
